WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP, RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548.5040522707558,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,663.5954681561952,578.2479366172632,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,688.3842867193604,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
572.323830088491,601.4095664749437,617.5943467115145,627.5686225044914,640.1595944498722,574.5951169830935,581.3792539178147,590.010076064905,598.4905935645625,560.1631896239946,565.5719012894866,572.3619173273431,579.1125642590005,551.7405669173442,554.4629806571646,561.9618077704591,569.416885821875,547.7470345561442,548.8725524556451,553.6784751972054,559.0368788697083,818.7437763876933,804.9082794333364,784.8276815940294,771.0696202377269,763.0685984014722,758.2929167287338,743.4815406101995,738.5811070209654,734.1223614501432,767.25006455359,751.4142387416076,746.7917392587121,743.4276433979787,781.3769787867575,767.8183291443098,763.1462594138588,758.9284146496984,800.290722914346,794.3992395021787,791.8368405276761,788.0120019299039,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
15.7363021225255,16.769940414175597,18.54580293449168,21.190395766714726,23.553619153221486,18.396751725644403,21.799960824563442,22.134438805682425,22.110517191146858,18.614369721937955,21.878936754387784,22.544188792070127,22.18037456863613,18.730062005303136,22.616413098013595,23.72926002191178,23.764100416384387,18.496731085991925,21.79672105868221,23.878560990248154,24.59817099140708,2.8244875616826226,2.5219899710546185,2.743362515969251,3.2334418913906777,3.836197946860872,3.4531450310586855,3.6815538574798583,3.5869187557010336,3.4846462442406088,2.7649288066828768,2.6946634233239646,2.71939711057435,2.6877070590002745,2.494760018022776,2.38659163767075,2.582824160681491,2.7631463447490403,2.673147311952721,2.8244172713146014,3.199643587573459,3.4758317310393725,0.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
12.812548127031542,15.225465880721035,16.515943725231093,16.731931339432993,17.340782415306418,15.813004666729219,16.26360977497001,16.10751204461759,15.897943134097586,14.423060556709187,14.976238108917736,15.704246628858083,16.41070653574978,13.028271999098735,13.910755969482762,14.603423591918459,15.06753864454974,5.251449999999993,5.251450000000005,5.251450000000005,5.2515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.011182094012444,11.951149758182277,12.663281326338764,13.307406992066479,3.114659708940948,3.635245841219005,4.344792527627177,4.9248834019192556,5.754302346288397,5.074596619929482,5.394152342685562,5.695992819737389,6.351746176446276,5.0245820380430795,5.4779965005465305,5.4945867037476175,5.82234412114229,4.940831746935429,5.245950658126689,5.7549036043186765,6.121977973049259,4.802108820351747,5.108297210666202,5.477052897544456,5.889326654635483,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
