2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.597075;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192;2,0,-9.610192; 0.025
-3.119223,-5.427337,0.4546273;-3.78806,-5.164629,0.5617672;-4.376303,-4.471544,0.657647;-4.798989,-3.875161,0.8117957;-5.209184,-3.616042,1.009503;-4.191894,-2.905795,0.692091;-4.570311,-1.918622,1.008605;-4.852336,-1.302052,1.213149;-5.112175,-0.7351842,1.38576;-3.878622,-2.692313,0.8901503;-4.205048,-1.615839,1.337137;-4.477444,-0.9275393,1.651027;-4.721048,-0.2892423,1.869123;-3.522451,-2.709691,1.139799;-3.767859,-1.669421,1.57932;-3.974328,-1.017508,1.928623;-4.17602,-0.4243875,2.174586;-3.129725,-2.942695,1.389705;-3.173298,-2.069434,1.814757;-3.264193,-1.492157,2.140987;-3.376234,-0.9355769,2.398108;-9.102658,-7.29215,0.4226988;-8.458435,-7.021434,0.6930652;-7.909992,-6.457835,0.9306911;-7.516284,-5.848871,1.200767;-7.165637,-5.461771,1.483016;-8.211166,-4.754533,0.7344937;-7.985939,-3.66523,0.9602352;-7.855264,-3.01807,1.166408;-7.74927,-2.456157,1.307493;-8.556536,-4.508214,0.8319442;-8.363175,-3.195928,1.042911;-8.227013,-2.401979,1.282182;-8.108446,-1.724387,1.456632;-8.926554,-4.527047,0.9191387;-8.780797,-3.274143,1.105192;-8.642774,-2.51539,1.311094;-8.50336,-1.862785,1.465443;-9.306931,-4.754592,1.087937;-9.337028,-3.794992,1.294627;-9.315019,-3.158538,1.459035;-9.261074,-2.559095,1.568749; 0.179
-2.8302,-6.169305,0.7941675;-3.455441,-5.818933,1.053559;-4.002952,-5.086894,1.193512;-4.382919,-4.381612,1.360759;-4.752617,-3.964257,1.561627;-3.596632,-3.458313,0.9574985;-3.851171,-2.35227,1.157505;-4.015574,-1.660205,1.34945;-4.151339,-1.018244,1.519929;-3.237866,-3.237795,1.026019;-3.407163,-1.970131,1.253247;-3.52379,-1.156747,1.499375;-3.616079,-0.4408422,1.702317;-2.882656,-3.284853,1.148785;-2.975985,-2.105762,1.354789;-3.074801,-1.374177,1.580487;-3.163952,-0.7523732,1.768912;-2.518008,-3.554815,1.296473;-2.454261,-2.627908,1.528785;-2.453063,-2.039791,1.724328;-2.481189,-1.494434,1.891563;-9.171467,-7.28487,0.5678419;-8.511019,-7.034627,0.8754725;-7.944247,-6.459707,1.138686;-7.549742,-5.848354,1.427327;-7.186735,-5.459123,1.728861;-8.238249,-4.72755,0.9538411;-8.030564,-3.624616,1.199126;-7.914682,-2.963033,1.419503;-7.816645,-2.384911,1.579772;-8.595306,-4.474025,1.039682;-8.415842,-3.157035,1.271533;-8.285243,-2.344522,1.542917;-8.168456,-1.634025,1.753055;-8.959655,-4.483849,1.155338;-8.821337,-3.240261,1.389727;-8.700248,-2.468549,1.62;-8.535156,-1.788506,1.666714;-9.319976,-4.717741,1.248393;-9.352989,-3.749949,1.456721;-9.338842,-3.111258,1.615999;-9.294301,-2.507512,1.721484; 0.445
-2.753348,-6.30959,0.8479777;-3.389952,-5.968548,1.072028;-3.938219,-5.221156,1.196058;-4.312949,-4.494349,1.35304;-4.675035,-4.062699,1.544754;-3.526896,-3.572725,0.9402604;-3.776518,-2.427001,1.10805;-3.933228,-1.715304,1.252589;-4.051396,-1.066955,1.395717;-3.160464,-3.358537,1.023858;-3.31775,-2.069649,1.232614;-3.427694,-1.241345,1.446439;-3.50972,-0.5227137,1.618578;-2.800621,-3.401222,1.171621;-2.88824,-2.197717,1.361622;-2.9906,-1.433457,1.563243;-3.081228,-0.7799621,1.73194;-2.434326,-3.669563,1.343882;-2.35823,-2.736764,1.540726;-2.351668,-2.144002,1.716324;-2.370309,-1.594801,1.86661;-9.189291,-7.303895,0.5751753;-8.546471,-7.056973,0.9073944;-7.986385,-6.474514,1.178852;-7.591815,-5.861946,1.471874;-7.231865,-5.479974,1.784308;-8.289588,-4.737088,0.9313657;-8.077904,-3.647802,1.182634;-7.961267,-2.994519,1.413155;-7.860421,-2.426467,1.573153;-8.646663,-4.477737,1.006276;-8.46067,-3.152841,1.234799;-8.321774,-2.331647,1.5051;-8.199102,-1.627833,1.708356;-9.006414,-4.490152,1.117598;-8.821337,-3.240261,1.396964;-8.700248,-2.468549,1.627238;-8.575118,-1.778911,1.805239;-9.353103,-4.707706,1.295826;-9.390249,-3.744025,1.525808;-9.382149,-3.114488,1.700768;-9.339761,-2.508606,1.825462; 0.510
-2.731219,-6.666757,0.9219473;-3.377776,-6.308683,1.150959;-3.937081,-5.598642,1.311664;-4.334104,-4.899279,1.504679;-4.66072,-4.424043,1.71954;-3.503799,-3.90604,1.041034;-3.755414,-2.751724,1.242896;-3.907881,-2.055007,1.403031;-4.022012,-1.42515,1.543232;-3.136814,-3.695749,1.121769;-3.26902,-2.366624,1.350256;-3.370139,-1.515517,1.57452;-3.447763,-0.778481,1.753103;-2.77875,-3.740554,1.267545;-2.835473,-2.521786,1.463955;-2.93933,-1.756503,1.676474;-3.026667,-1.119295,1.839133;-2.41267,-4.003927,1.433893;-2.308177,-3.050543,1.618416;-2.294393,-2.440498,1.796171;-2.303289,-1.879641,1.929253;-9.177523,-7.33041,0.6522964;-8.530513,-7.068308,0.9548908;-7.969435,-6.47603,1.216787;-7.566269,-5.87494,1.516043;-7.2005,-5.486511,1.835346;-8.284273,-4.715465,0.9548941;-8.077241,-3.623203,1.189334;-7.953764,-2.966604,1.417841;-7.85236,-2.400024,1.57165;-8.636985,-4.476527,1.051706;-8.468899,-3.165918,1.250863;-8.338461,-2.343368,1.510362;-8.226477,-1.636971,1.697331;-8.995413,-4.49753,1.18529;-8.867048,-3.255114,1.393458;-8.741068,-2.475083,1.610997;-8.610897,-1.792045,1.768679;-9.381038,-4.725044,1.347016;-9.444874,-3.730566,1.597755;-9.440855,-3.072829,1.76461;-9.402502,-2.442211,1.869082; 0.710
-2.767083,-6.921104,1.076602;-3.421803,-6.579872,1.298613;-3.974808,-5.795182,1.423842;-4.359215,-5.030914,1.587938;-4.727536,-4.595077,1.778985;-3.547863,-4.130472,1.166514;-3.793639,-2.998557,1.335943;-3.945514,-2.315383,1.469464;-4.06033,-1.686105,1.585094;-3.18191,-3.904849,1.246795;-3.324075,-2.580303,1.463994;-3.440404,-1.739822,1.67191;-3.530401,-1.009379,1.830508;-2.827568,-3.935524,1.39446;-2.884847,-2.694973,1.586473;-2.997622,-1.935161,1.771478;-3.095457,-1.284702,1.912913;-2.464501,-4.185416,1.565205;-2.376415,-3.227005,1.729954;-2.365132,-2.612876,1.891518;-2.374511,-2.024638,2.018508;-9.214265,-7.258096,0.6107146;-8.571481,-7.019339,0.9280269;-7.99964,-6.434071,1.195451;-7.580733,-5.820768,1.477673;-7.20201,-5.431962,1.805906;-8.268861,-4.687732,0.9217597;-8.047929,-3.607752,1.161867;-7.922014,-2.958716,1.397429;-7.818795,-2.399203,1.556676;-8.620378,-4.428154,1.017451;-8.434806,-3.134398,1.219759;-8.299391,-2.324668,1.47679;-8.181715,-1.623161,1.665553;-8.980807,-4.434637,1.151475;-8.842164,-3.207736,1.35999;-8.715493,-2.437413,1.580916;-8.584455,-1.758641,1.745663;-9.372106,-4.649147,1.312443;-9.395364,-3.681563,1.530101;-9.379046,-3.033557,1.700409;-9.33116,-2.414156,1.811556; 0.904
-2.766612,-6.938219,1.057333;-3.419619,-6.596321,1.279155;-3.970137,-5.823165,1.411626;-4.354589,-5.068326,1.583245;-4.7234,-4.627685,1.780051;-3.550486,-4.149948,1.157875;-3.803683,-3.014545,1.326404;-3.952333,-2.326114,1.458848;-4.058741,-1.687054,1.573477;-3.186724,-3.929142,1.242299;-3.329367,-2.594128,1.456202;-3.437162,-1.752988,1.671353;-3.514914,-1.021459,1.839242;-2.833179,-3.957856,1.393379;-2.890128,-2.712152,1.584069;-2.99327,-1.947954,1.778352;-3.079339,-1.290927,1.930568;-2.470981,-4.20198,1.563025;-2.380215,-3.238159,1.729582;-2.361967,-2.624397,1.89263;-2.361997,-2.037376,2.022144;-9.226968,-7.252946,0.6683695;-8.57727,-7.015537,0.9604347;-8.000993,-6.424741,1.22317;-7.594101,-5.796058,1.522568;-7.220453,-5.396026,1.848581;-8.270021,-4.671428,0.958195;-8.052017,-3.597581,1.186891;-7.928074,-2.936899,1.412421;-7.823029,-2.369158,1.569295;-8.622402,-4.40518,1.053156;-8.426022,-3.119967,1.248405;-8.287444,-2.301183,1.504627;-8.167229,-1.595004,1.698972;-8.987528,-4.403152,1.182649;-8.82678,-3.182757,1.380844;-8.704756,-2.404434,1.596884;-8.568429,-1.734792,1.759318;-9.382433,-4.604779,1.331965;-9.394692,-3.632637,1.539711;-9.371967,-2.98177,1.703396;-9.315698,-2.362201,1.81241; 0.967
-2.736406,-6.94597,1.146019;-3.397135,-6.605068,1.353384;-3.950739,-5.828578,1.465674;-4.330853,-5.043237,1.620262;-4.706007,-4.582399,1.81035;-3.545328,-4.127065,1.141617;-3.789564,-2.977497,1.269695;-3.926186,-2.286179,1.369384;-4.02172,-1.64053,1.467796;-3.177515,-3.909445,1.217578;-3.313814,-2.579566,1.37273;-3.407509,-1.750165,1.544107;-3.472146,-1.045874,1.682554;-2.819708,-3.934386,1.366312;-2.877366,-2.689861,1.51224;-2.97753,-1.924934,1.678215;-3.06116,-1.268606,1.807813;-2.450931,-4.172682,1.538294;-2.365145,-3.20872,1.672816;-2.351262,-2.593922,1.819934;-2.353,-2.005821,1.939131;-9.256873,-7.26659,0.68878;-8.617292,-7.041198,1.03624;-8.012875,-6.447574,1.280132;-7.612543,-5.823101,1.589828;-7.23986,-5.416746,1.927746;-8.27765,-4.682724,0.9863769;-8.054231,-3.615144,1.217934;-7.926907,-2.957959,1.451535;-7.820506,-2.392923,1.615683;-8.631855,-4.415901,1.063534;-8.436548,-3.146251,1.252364;-8.296954,-2.332057,1.509254;-8.177169,-1.628307,1.704674;-8.99733,-4.411583,1.181886;-8.842522,-3.216197,1.361186;-8.705512,-2.468647,1.56545;-8.566587,-1.819572,1.721062;-9.39564,-4.612947,1.331425;-9.400659,-3.653696,1.529838;-9.368214,-3.011445,1.68479;-9.304087,-2.400538,1.787831; 1.097
-2.730717,-6.949613,1.142744;-3.377148,-6.590018,1.338207;-3.921773,-5.821857,1.448895;-4.289896,-5.047468,1.606125;-4.641507,-4.572895,1.790827;-3.518895,-4.12576,1.134171;-3.766334,-2.981962,1.260609;-3.903427,-2.28894,1.369649;-3.999583,-1.646358,1.482729;-3.158127,-3.912092,1.213999;-3.298788,-2.573175,1.362797;-3.389416,-1.742628,1.544174;-3.453644,-1.037366,1.692415;-2.805949,-3.941871,1.362963;-2.867452,-2.702184,1.506207;-2.96297,-1.941046,1.671131;-3.046349,-1.289662,1.799854;-2.441248,-4.18161,1.535189;-2.352623,-3.222526,1.671438;-2.330926,-2.615449,1.815595;-2.324453,-2.04226,1.928905;-9.268723,-7.318458,0.7084758;-8.627899,-7.070698,1.031592;-8.053274,-6.468364,1.287176;-7.649794,-5.831188,1.578976;-7.282412,-5.444148,1.899462;-8.321521,-4.723806,0.9974604;-8.100306,-3.64396,1.212693;-7.97658,-2.972343,1.427839;-7.871855,-2.404783,1.584323;-8.672885,-4.451941,1.052987;-8.475768,-3.161963,1.23122;-8.333637,-2.344511,1.480315;-8.209477,-1.647849,1.672054;-9.033324,-4.437883,1.147013;-8.877645,-3.224919,1.319658;-8.743551,-2.468242,1.506507;-8.607991,-1.81814,1.651081;-9.425259,-4.631248,1.268202;-9.435074,-3.665516,1.454052;-9.409311,-3.038022,1.597688;-9.354572,-2.456297,1.695164; 1.162
-2.728614,-6.715464,1.592983;-3.404013,-6.29486,1.754577;-3.912579,-5.392174,1.821002;-4.212572,-4.519257,1.970638;-4.543124,-3.917791,2.170201;-3.542107,-3.767285,1.416337;-3.789568,-2.685544,1.558022;-3.933656,-2.039027,1.654126;-4.058398,-1.450208,1.753046;-3.176785,-3.550415,1.551267;-3.338948,-2.289276,1.712803;-3.48726,-1.495227,1.896502;-3.622659,-0.7826724,2.044931;-2.823239,-3.604284,1.780707;-2.909838,-2.416931,1.971246;-3.051727,-1.686471,2.182021;-3.191675,-1.050966,2.337487;-2.456655,-3.888998,2.030566;-2.398462,-2.949552,2.230304;-2.438551,-2.335456,2.441133;-2.506079,-1.754678,2.599133;-9.359581,-7.168975,0.5407243;-8.702416,-6.913642,0.8695593;-8.139676,-6.302328,1.128781;-7.762186,-5.648436,1.415097;-7.42152,-5.231534,1.728378;-8.389296,-4.602536,0.8438326;-8.179789,-3.539505,1.064699;-8.040822,-2.940694,1.354521;-7.9486,-2.389188,1.504678;-8.7166,-4.368267,0.9315715;-8.521002,-3.087685,1.127662;-8.384553,-2.304276,1.367095;-8.265981,-1.620494,1.545299;-9.071376,-4.361,1.011892;-8.920818,-3.146318,1.204768;-8.795542,-2.426597,1.403006;-8.66644,-1.791973,1.544955;-9.460564,-4.557958,1.119558;-9.466407,-3.623437,1.321163;-9.445499,-3.018452,1.47468;-9.390446,-2.439766,1.574973; 1.611
