2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.442284;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754;2,0,-9.94754; 0.004
-2.713953,-6.158294,0.3863729;-3.362123,-5.945854,0.7075691;-3.939291,-5.437202,0.9061401;-4.376383,-4.909759,1.088025;-4.741673,-4.612596,1.297871;-3.5205,-3.668214,0.7698919;-3.785008,-2.558992,0.9642106;-3.937902,-1.869597,1.153984;-4.05308,-1.239146,1.333344;-3.152394,-3.415164,0.7967988;-3.345188,-2.099273,1.054051;-3.456994,-1.268182,1.30955;-3.537724,-0.575458,1.515602;-2.787408,-3.411932,0.8687433;-2.892807,-2.176925,1.103533;-2.985595,-1.410055,1.343393;-3.068596,-0.7863355,1.53682;-2.412337,-3.617627,0.9553127;-2.33978,-2.616029,1.20775;-2.324101,-2.012869,1.401788;-2.335114,-1.477727,1.576863;-9.066285,-7.809756,0.348602;-8.416456,-7.498178,0.5063078;-7.886734,-6.832654,0.6847297;-7.5227,-6.20803,0.9256607;-7.187435,-5.824009,1.197078;-8.186866,-5.146446,0.4882835;-7.950054,-4.082691,0.6726708;-7.798387,-3.470207,0.8841316;-7.679526,-2.924783,1.0259;-8.511315,-4.938278,0.6634645;-8.335853,-3.617624,0.8109334;-8.190285,-2.819096,1.046398;-8.076283,-2.140959,1.210536;-8.85117,-4.976137,0.8730199;-8.718928,-3.729307,1.045182;-8.584329,-2.947639,1.253467;-8.459558,-2.281803,1.409182;-9.217034,-5.221835,1.097583;-9.2469,-4.218942,1.308175;-9.228018,-3.552588,1.477155;-9.190769,-2.920733,1.592742; 0.104
-2.604342,-6.460826,0.3587512;-3.241953,-6.264007,0.6794785;-3.819994,-5.740482,0.8775352;-4.246369,-5.166125,1.056803;-4.597176,-4.795028,1.264433;-3.406828,-3.963677,0.6781146;-3.66864,-2.838566,0.851446;-3.802948,-2.144969,1.01066;-3.895264,-1.52403,1.174415;-3.041723,-3.715456,0.694679;-3.208846,-2.403908,0.8942009;-3.29546,-1.571773,1.119841;-3.354027,-0.8966384,1.314147;-2.68432,-3.720303,0.7665055;-2.779414,-2.483055,0.9489869;-2.859025,-1.693103,1.174721;-2.932064,-1.049168,1.371038;-2.31454,-3.951849,0.8562117;-2.23289,-2.970589,1.062196;-2.20844,-2.342531,1.254815;-2.208307,-1.774097,1.432689;-9.08489,-7.787094,0.3086327;-8.434259,-7.470125,0.502478;-7.904002,-6.817432,0.699742;-7.537741,-6.193441,0.9489175;-7.20233,-5.80151,1.225943;-8.200892,-5.116035,0.4916508;-7.969012,-4.03907,0.6902574;-7.817611,-3.431465,0.9064765;-7.696216,-2.889226,1.050371;-8.523394,-4.925352,0.5926565;-8.354388,-3.603047,0.7376356;-8.207064,-2.808703,0.9760398;-8.087742,-2.133656,1.143932;-8.864358,-4.959436,0.7996645;-8.739516,-3.7222,0.9633565;-8.604298,-2.950406,1.16422;-8.474678,-2.294786,1.312925;-9.229632,-5.200675,1.019983;-9.268521,-4.200126,1.227243;-9.247694,-3.535406,1.394793;-9.202851,-2.907156,1.504177; 0.230
-2.589314,-6.536346,0.3560995;-3.22491,-6.319904,0.7264271;-3.807846,-5.809251,0.9550086;-4.235048,-5.221542,1.154043;-4.560776,-4.832925,1.360194;-3.387657,-4.050905,0.7854689;-3.635997,-2.947988,1.013937;-3.760126,-2.260627,1.211403;-3.844688,-1.634217,1.395673;-3.025057,-3.803291,0.7772017;-3.182923,-2.517505,1.017785;-3.267241,-1.690127,1.261427;-3.321918,-1.015851,1.469933;-2.668645,-3.807913,0.8281289;-2.752475,-2.596875,1.036941;-2.824964,-1.821733,1.267481;-2.888609,-1.192694,1.455713;-2.296397,-4.032691,0.8967047;-2.216571,-3.061922,1.099939;-2.187085,-2.451729,1.284698;-2.178339,-1.903636,1.450802;-9.097998,-7.740292,0.4037994;-8.446846,-7.428384,0.5985388;-7.910133,-6.794934,0.8145846;-7.533504,-6.188892,1.0804;-7.191724,-5.798196,1.382096;-8.203943,-5.072336,0.6293246;-7.970642,-4.017673,0.8458668;-7.819241,-3.421043,1.070873;-7.693159,-2.891992,1.223036;-8.532945,-4.864063,0.795884;-8.364553,-3.549713,0.9860455;-8.217413,-2.789295,1.163462;-8.098538,-2.116336,1.336947;-8.86798,-4.940145,0.9465206;-8.748879,-3.703996,1.13716;-8.61596,-2.931479,1.359672;-8.484392,-2.271739,1.524834;-9.235236,-5.186788,1.161412;-9.281289,-4.1957,1.390182;-9.267362,-3.534915,1.571791;-9.226727,-2.902005,1.696178; 0.295
-2.57275,-6.552394,0.2601049;-3.201433,-6.341011,0.6419774;-3.773451,-5.83653,0.8939025;-4.173454,-5.236864,1.112823;-4.49399,-4.819616,1.343274;-3.358845,-4.091659,0.7315555;-3.589367,-2.974582,0.9791827;-3.711113,-2.306509,1.172947;-3.795615,-1.690213,1.342348;-2.992984,-3.852115,0.7247161;-3.134081,-2.558602,0.9934744;-3.207287,-1.722948,1.23265;-3.25446,-1.029975,1.437853;-2.633177,-3.859823,0.7699578;-2.706307,-2.646623,0.9882449;-2.775972,-1.87166,1.203552;-2.837425,-1.242864,1.381952;-2.256457,-4.080001,0.8368768;-2.165902,-3.101207,1.034008;-2.126157,-2.472083,1.222545;-2.106071,-1.901442,1.380311;-9.084089,-7.722406,0.41454;-8.440393,-7.397663,0.5712987;-7.899521,-6.750734,0.7513601;-7.525334,-6.137641,0.991112;-7.185331,-5.760652,1.265525;-8.189627,-5.054399,0.5390643;-7.94772,-4.015468,0.7166798;-7.79669,-3.405921,0.9256392;-7.677588,-2.858181,1.072487;-8.514081,-4.832809,0.7130393;-8.325862,-3.531656,0.8533485;-8.178796,-2.745514,1.089092;-8.059244,-2.077934,1.25597;-8.856434,-4.857589,0.9206901;-8.712046,-3.626998,1.084448;-8.577129,-2.847749,1.285614;-8.447257,-2.182271,1.44337;-9.226986,-5.091806,1.145186;-9.254833,-4.09552,1.346685;-9.233856,-3.438282,1.508275;-9.18821,-2.811325,1.62167; 0.490
-2.565235,-6.571751,0.2491321;-3.194928,-6.337718,0.6132362;-3.762636,-5.80696,0.8479348;-4.165675,-5.195777,1.056852;-4.484158,-4.774229,1.278903;-3.3416,-4.095333,0.6754855;-3.571802,-2.967935,0.9128496;-3.693905,-2.28774,1.103813;-3.774227,-1.667737,1.275357;-2.974331,-3.866014,0.6713957;-3.109602,-2.571896,0.9185205;-3.181105,-1.731442,1.148464;-3.217548,-1.038733,1.349557;-2.615185,-3.878689,0.7218207;-2.680206,-2.668067,0.9225333;-2.747859,-1.893034,1.128199;-2.802948,-1.262989,1.299312;-2.240395,-4.09596,0.7926129;-2.148511,-3.112379,0.9759201;-2.107721,-2.482849,1.152343;-2.082766,-1.906745,1.300848;-9.078646,-7.703887,0.4209636;-8.422285,-7.398708,0.6092247;-7.882815,-6.747215,0.799752;-7.511998,-6.121484,1.040957;-7.170376,-5.733448,1.312896;-8.174795,-5.032768,0.5811431;-7.941107,-3.971045,0.7607968;-7.794009,-3.35635,0.9661001;-7.678102,-2.812258,1.107677;-8.504105,-4.814481,0.7308376;-8.332415,-3.493885,0.8724282;-8.178796,-2.745514,1.095599;-8.059244,-2.077934,1.262477;-8.856434,-4.857589,0.9271972;-8.712046,-3.626998,1.090955;-8.577129,-2.847749,1.292122;-8.447257,-2.182271,1.449877;-9.226986,-5.091806,1.151694;-9.254833,-4.09552,1.353192;-9.233856,-3.438282,1.514782;-9.18821,-2.811325,1.628178; 0.557
-2.549196,-6.550483,0.2649003;-3.177291,-6.314638,0.6008887;-3.735106,-5.772676,0.8132901;-4.132291,-5.156244,1.010808;-4.440755,-4.734296,1.225887;-3.31695,-4.059177,0.6243699;-3.547188,-2.942708,0.8300715;-3.672211,-2.266667,0.9978927;-3.754658,-1.656429,1.151121;-2.949702,-3.829279,0.620297;-3.079607,-2.544062,0.8330022;-3.152607,-1.705669,1.045855;-3.193097,-1.025305,1.23471;-2.592328,-3.843844,0.6706131;-2.648897,-2.643869,0.8432687;-2.716578,-1.865787,1.040553;-2.770626,-1.243018,1.206904;-2.219937,-4.071794,0.7396433;-2.116931,-3.103269,0.9039251;-2.072548,-2.477837,1.079241;-2.042896,-1.911843,1.228804;-9.069018,-7.700635,0.4449434;-8.414424,-7.379924,0.614099;-7.878153,-6.737119,0.8006005;-7.506794,-6.116663,1.043987;-7.170788,-5.725563,1.32211;-8.160888,-5.012371,0.5544439;-7.93831,-3.964019,0.8730578;-7.784105,-3.363025,1.089696;-7.656926,-2.829941,1.237495;-8.503568,-4.808794,0.8094734;-8.336005,-3.494084,0.9857521;-8.191143,-2.712418,1.234186;-8.069807,-2.037156,1.41106;-8.850766,-4.846726,0.986774;-8.724825,-3.625001,1.177197;-8.594179,-2.866865,1.391036;-8.467922,-2.214599,1.548748;-9.219872,-5.091543,1.181499;-9.256269,-4.122141,1.40099;-9.237739,-3.470315,1.575002;-9.193254,-2.84264,1.692277; 0.685
-2.565114,-6.54232,0.2262513;-3.198728,-6.315979,0.5513516;-3.759895,-5.767213,0.7657241;-4.167545,-5.164173,0.9708255;-4.480008,-4.73226,1.194271;-3.341423,-4.048199,0.558588;-3.575869,-2.920075,0.7526111;-3.70412,-2.239023,0.9189723;-3.788248,-1.631454,1.077866;-2.98145,-3.834311,0.5777436;-3.107605,-2.538446,0.793587;-3.183369,-1.693478,1.019931;-3.222061,-1.006924,1.224561;-2.625076,-3.857365,0.6533507;-2.678469,-2.646287,0.8395963;-2.748109,-1.852382,1.047455;-2.804825,-1.204911,1.225702;-2.25219,-4.083496,0.7412577;-2.140649,-3.111461,0.906069;-2.097036,-2.487432,1.073004;-2.068814,-1.929936,1.219097;-9.064912,-7.672845,0.4715635;-8.413663,-7.354536,0.6537794;-7.871371,-6.711954,0.8434103;-7.498915,-6.095021,1.086418;-7.153528,-5.722981,1.368336;-8.157351,-4.987717,0.6236313;-7.919983,-3.931476,0.7930895;-7.773405,-3.321695,0.9945667;-7.658964,-2.777251,1.135021;-8.488615,-4.768034,0.7724334;-8.314013,-3.46383,0.9070611;-8.172828,-2.680564,1.137036;-8.057717,-2.01879,1.299985;-8.836575,-4.798269,0.9551762;-8.704707,-3.574506,1.106459;-8.573886,-2.820097,1.305207;-8.447228,-2.179872,1.459127;-9.210183,-5.031233,1.157301;-9.238911,-4.059032,1.348813;-9.216297,-3.41333,1.509505;-9.167052,-2.79983,1.618735; 0.750
-2.60729,-6.573524,0.2454205;-3.246449,-6.347198,0.5541523;-3.813396,-5.79458,0.7453223;-4.217945,-5.192783,0.9294028;-4.531017,-4.781459,1.127243;-3.389736,-4.075008,0.5013386;-3.62181,-2.979107,0.6777128;-3.750614,-2.307729,0.8307413;-3.836321,-1.706249,0.9813496;-3.028918,-3.852336,0.5245036;-3.165534,-2.598094,0.7080625;-3.251364,-1.777265,0.9186282;-3.299114,-1.105603,1.108462;-2.672487,-3.865469,0.6088029;-2.737958,-2.687613,0.7695422;-2.806841,-1.920825,0.9677333;-2.86284,-1.297652,1.135965;-2.300163,-4.080709,0.7101785;-2.205661,-3.123959,0.8641965;-2.166909,-2.514096,1.025352;-2.146523,-1.964146,1.171517;-9.080318,-7.685247,0.4549545;-8.421355,-7.378468,0.6269045;-7.878975,-6.730928,0.8015426;-7.511567,-6.099761,1.034067;-7.167223,-5.708757,1.296678;-8.166544,-5.007115,0.5583551;-7.927934,-3.947893,0.7208639;-7.773259,-3.333562,0.9214523;-7.648931,-2.780775,1.061418;-8.492208,-4.783645,0.7140845;-8.320019,-3.472448,0.8403986;-8.173233,-2.68239,1.068159;-8.049863,-2.014044,1.225303;-8.835256,-4.807359,0.9091073;-8.70547,-3.573709,1.056595;-8.569681,-2.807963,1.256107;-8.435713,-2.160885,1.410061;-9.204976,-5.032623,1.120748;-9.234931,-4.045284,1.3121;-9.211391,-3.39216,1.476195;-9.160845,-2.775571,1.585113; 0.943
-2.689884,-6.569309,0.09399612;-3.314804,-6.353631,0.4142497;-3.870853,-5.835145,0.6246983;-4.284587,-5.24494,0.8236446;-4.609442,-4.840536,1.041219;-3.465317,-4.119035,0.393128;-3.704492,-3.027902,0.576149;-3.830318,-2.375805,0.7340426;-3.91441,-1.788298,0.8849659;-3.111198,-3.896709,0.4145911;-3.248356,-2.649294,0.6096976;-3.328977,-1.840217,0.8216674;-3.374748,-1.186468,1.014487;-2.759616,-3.91021,0.4953833;-2.824847,-2.736615,0.6668975;-2.898192,-1.977999,0.8620478;-2.960223,-1.361332,1.020518;-2.389403,-4.130188,0.5911497;-2.288852,-3.17822,0.746373;-2.250585,-2.57105,0.9041543;-2.227754,-2.019396,1.044551;-9.057187,-7.66823,0.4690792;-8.404647,-7.366686,0.6434374;-7.867575,-6.710687,0.8352778;-7.500159,-6.086791,1.080428;-7.167113,-5.69751,1.359272;-8.153261,-4.982725,0.6225449;-7.911044,-3.937198,0.8126978;-7.755857,-3.330406,1.02733;-7.636466,-2.789442,1.169732;-8.481829,-4.763992,0.7702639;-8.306933,-3.456327,0.9181644;-8.156425,-2.673481,1.157616;-8.036416,-2.001945,1.321272;-8.826246,-4.798175,0.9515175;-8.701273,-3.576966,1.110968;-8.568092,-2.828833,1.312193;-8.4428,-2.19002,1.459965;-9.192857,-5.038108,1.149954;-9.219786,-4.062804,1.342055;-9.195301,-3.410487,1.504365;-9.146587,-2.785582,1.60813; 1.270
